"filename", "language", "C++", "JSON", "Markdown", "Dart", "YAML", "Swift", "XML", "HTML", "PHP", "JavaScript", "CSS", "Properties", "Groovy", "Kotlin", "comment", "blank", "total"
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\backend\tests\CreatesApplication.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 6, 23
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\backend\tests\Feature\ExampleTest.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 6, 5, 22
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\backend\tests\TestCase.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\backend\tests\Unit\ExampleTest.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 5, 4, 19
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\backend\vendor\spatie\ignition\resources\compiled\ignition.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 3
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\backend\vendor\spatie\ignition\resources\compiled\ignition.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\backend\vite.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
